Infinite Flight Livery Name,Color 1,Color 2,Color 3,Logo or Wordmark,Include Name
VietJet Air,#ffffff,#e92127,#f1e436,VietJet_Air_logo.svg,F
Avianca,#ffffff,#ff0000,#ff0000,Logo_Avianca_(Colombia)_2023.svg,F
Delta Air Lines,#ffffff,#003366,#c01933,Delta_logo.svg,F
Infinite Flight,#1c1c1d,#fa9822,#ffffff,Infinite_Flight_logo.svg,T
Air France,#002157,#f71d25,#931116,Air_France_Logo.svg,F
Azul,#023169,#1a6bbe,#68ca8f,Logo_da_Azul_Linhas_Aéreas_Brasileiras.svg,F
N456DX,#ffffff,#962525,#bebf8e,,
China Cargo,#ffffff,#fa4e41,#186482,ChinaCargoAirLogo.png,T
KLM,#00a1e4,#ffffff,#ffffff,KLM_logo.svg,T
Virgin Australia,#ffffff,#e20606,#e20606,Virgin_Australia_Logo_2022.svg,F
F-HATZ,#ffffff,#d23b32,#d2bd81,,
Infinite Flight -  Light,#1c1c1d,#fa9822,#ffffff,Infinite_Flight_logo.svg,T
Private 6,#323232,#323232,#323232,,
Turkish Airlines,#c70a0d,#ffffff,#0053a5,Turkish_Airlines_logo_2019_compact.svg,F
Iberia - retro,#b11c25,#ef8314,#facd0a,Logotipo_de_Iberia.svg,F
Lufthansa,#00235f,#ffffff,#f9ba00,Lufthansa_Logo_2018.svg,F
Frontier,#0f6744,#ffffff,#9a9b9c,Frontier_Airlines_logo.svg,F
Norweigan Airlines,#ffffff,#d81939,#003251,Norwegian_Logo_2024.svg,F
Qatar Airways,#5c0832,#747f8a,#747f8a,Qatar_Airways_Logo.svg,F
N1322K,#922525,#27282a,#b66437,,
SAS,#000099,#ffffff,#ffffff,Scandinavian_Airlines_logo.svg,F
Westwind,#ffffff,#6c5748,#1e314d,West_Wind_Aviation_logo.svg,T
Gray and White,#726d66,#edece8,#edece8,,
Private 1,#323232,#323232,#323232,,
Private 5,#323232,#323232,#323232,,
Spirit Airlines,#ffec00,#ffffff,#ffffff,Spirit_Airlines_logo.svg,F
JAL Express,#cc0000,#ffffff,#000000,JALExpresslogo.gif,
Ryanair,#ffffff,#2b4779,#f4ca36,Ryanair.svg,T
United Airlines 2019,#0060a9,#ffffff,#ffffff,,
Fly Dubai,#ffffff,#ff8200,#006496,Fly_Dubai_logo_2010_03.svg,F
Cargolux,#ffffff,#d60606,#060606,Cargolux_Logo.svg,T
Aeroflot,#cccecd,#152757,#e1090d,Aeroflot_Logo_en.svg,T
Black and Gray,#313230,#d0d0cb,#d13023,,
Private 8,#323232,#323232,#323232,,
Southwest Heart,#2144c8,#eccc5f,#cf363f,,
Air Canada,#ffffff,#f01428,#000000,Air_Canada_2017.svg,F
Lufthansa - 2018,#00235f,#ffffff,#ffffff,,
Turkish Cargo,#c70a0d,#ffffff,#0053a5,Turkish_Cargo_logo.svg,F
United Express,#0060a9,#ffffff,#ffffff,United_Express_logo.svg,F
JetBlue,#053878,#4d93d3,#ffffff,,
Malaysia Airlines,#ffffff,#0a3363,#ee252d,Malaysia_Airlines_Logo.svg,F
Southwest - Heart,#2144c8,#eccc5f,#cf363f,,
DHL,#d40711,#ffcc00,#ffffff,DHL_Logo.svg,F
Singapore Airlines,#fcb130,#1d4886,#ffffff,Singapore_Airlines_Logo_2.svg,F
Thai Airways,#370e62,#f5c300,#b6007d,Thai_Airways_logo.svg,F
Default,#323232,#323232,#323232,,
Avensa,#ffffff,#0abdd5,#0abdd5,Avensa_Air_Ways_Logo.svg,F
Air New Zealand - All Black,#232021,#ffffff,#ffffff,,
Vietjet Air,#ffffff,#e92127,#f1e436,VietJet_Air_logo.svg,F
KLM - Orange Pride,#00a1e4,#ffffff,#ffffff,,
American Airlines - Old,#c7d0d7,#14acdc,#b62023,,
FedEx,#ffffff,#660099,#ff6600,,
Alitalia,#bf210d,#ffffff,#00663f,Alitalia_logo.svg,F
Kenya Airways,#006d3d,#ed1c23,#2e2e3e,Kenya_Airways_Logo.svg,F
Korean Airlines,#89d4ed,#ed3f47,#06519d,KoreanAir_logo.svg,F
Red Stripe,#0d141c,#cfd0c2,#d2403e,,
WOW Air,#991882,#ffffff,#ffffff,WOW_air_logo.svg,T
JetStar,#dbe2ea,#ff5115,#000000,Jetstar_logo.svg,F
IndiGo,#001c94,#97d0ed,#ffffff,IndiGo.svg,F
AirTran - Altanta Falcons,#0065a4,#ef3e42,#ffffff,AirTran_Airways_logo.svg,F
Aeromexico,#032d5d,#ffffff,#ae1426,Aeroméxico_Logo_2024_-_Navy.svg,F
DutchBird,#f58707,#062765,#e70011,Dutchbird_logo.svg,F
Nordwind Airlines,#efefef,#df0000,#ffffff,Nordwind_Airlines_logo.svg,F
Stevo1kinevo,#323232,#323232,#323232,,
jetBlue,#053878,#4d93d3,#ffffff,JetBlue_Airways_Logo.svg,F
Frontier - Colorado,#0f6744,#ffffff,#9a9b9c,,
Omni Air International,#5b160d,#52595b,#ffffff,Omni_Air_International_Logo.svg,F
Wizz Air,#ffffff,#d3007f,#312782,Wizz_Air_logo_2015.svg,F
Ethiopian Airlines,#c52528,#5d8f4d,#ffc92d,Ethiopian_Airlines_Logo.svg,F
Qatar Cargo,#5c0832,#747f8a,#747f8a,Qatar_Airways_Logo.svg,T
Spicejet,#c30b12,#fcd800,#f7a11c,SpiceJet_logo.svg,F
Crystal Luxary Airlines,#008298,#ffffff,#ffffff,,
Maroon,#3d1a23,#9aa19f,#3a4856,,
75th FS Moody AFB,#323232,#323232,#323232,,
Eva Air,#009a42,#009a42,#ea5400,EVA_Air_logo.svg,F
Austrian,#ffffff,#d7211c,#93282b,,
Jetstar,#dbe2ea,#ff5115,#000000,,
GOL+,#ff5800,#b7b3b1,#b7b3b1,,
Kuwait Airways,#20275b,#ffffff,#00aff0,,
"Black, Red &",#1c1c1c,#db362a,#9a958d,,
Aerologic,#ffffff,#5f6a6d,#ffcc00,,
Alaska Airlines,#03416e,#00b2d6,#b1d887,,
United Express - Old,#0060a9,#ffffff,#ffffff,,
US Navy,#323232,#323232,#323232,,
Transavia,#00d66c,#ffffff,#ffffff,,
United,#0060a9,#ffffff,#ffffff,,
LATAM,#2a0087,#ee1850,#ffffff,,
American Airlines - TWA,#c7d0d7,#14acdc,#b62023,,
LAPA,#151c59,#ffffff,#d1c066,,
China Airlines,#141e4c,#99b7e5,#e83652,,
Generic,#eff0ee,#eff0ee,#eff0ee,,
TUI,#6bace4,#c3d8ef,#da281c,,
Infinite Flight Dark,#1c1c1d,#fa9822,#ffffff,,
Air Mauritius,#ffffff,#bc0003,#bc0003,,
Qantas,#ffffff,#e00606,#e00606,,
French Air Force,#ffffff,#32578d,#f0cb7d,,
Garuda Indonesia,#001550,#007c90,#f8f8f8,,
Cebu Pacific,#f4dc14,#1572b6,#0f927f,,
Allegiant,#03579b,#f48120,#fbce20,,
Uzbekistan,#024986,#ffdb00,#368f25,,
Red and White,#fbfbf9,#ce423a,#cccdc7,,
Etihad,#270015,#c4921c,#c9baa8,,
Tunisair,#ffffff,#d40000,#d40000,,
Saudia,#bea479,#323779,#323779,,
Peach Aviation,#c240bf,#c49378,#fff9f4,,
ANA,#ffffff,#0b318f,#00a3e6,,
American Airlines - oneworld,#c7d0d7,#14acdc,#b62023,,
Boeing House,#ffffff,#0033a1,#0033a1,,
Alaska Airlines - 2016,#03416e,#00b2d6,#b1d887,,
Private,#323232,#323232,#323232,,
Air Austral,#dee1e0,#2c406d,#61bfdf,,
Icelandair,#003a7b,#fcaf18,#ffffff,,
66th WS Nellis AFB,#323232,#323232,#323232,,
Royal Jordanian,#000000,#bbae64,#d90023,,
EgyptAir,#ffffff,#00265d,#2abcee,,
Copa Airlines,#ffffff,#0060a9,#0060a9,,
Shandong Airlines,#1a446d,#f58634,#ffffff,,
Philippines Airlines,#062b67,#ec2b2a,#fdcb0a,,
HOP!,#002157,#f71d25,#931116,,
S7,#bed606,#4a9316,#ffffff,,
Scoot Airlines,#ffe900,#ffffff,#ffffff,,
Mango,#f57016,#ffffff,#bedf0e,,
Carbo Verde,#093b9e,#75d4d9,#ae9483,,
easyJet,#ff6600,#ff6600,#ffffff,,
AirAsia,#e32526,#ffffff,#ffffff,,
Asiana Airlines,#d32533,#f5d954,#4141a3,,
Nordica,#0db0e1,#ffffff,#1a2166,,
Ethiopian Cargo,#c52528,#5d8f4d,#ffc92d,,
Pan Am,#2b67ac,#ffffff,#ffffff,,
Southwest - Canyon Blue,#2144c8,#eccc5f,#cf363f,,
Vueling,#ffcc00,#6a6b6c,#ffffff,,
Flydubai,#006496,#ff8200,#ffffff,,
China Southern Cargo,#002053,#ed2537,#0094d0,,
Atlas Air,#0a1d60,#ffb718,#ffb718,,
FrenchBee,#0d51a0,#00ade9,#7bcdf3,,
Volaris,#2b2a2a,#9c3292,#8dc73e,,
AeroMexico,#032d5d,#ffffff,#ae1426,,
Frontier - Sheldon,#0f6744,#ffffff,#9a9b9c,,
United - Old,#0060a9,#ffffff,#ffffff,,
El Al,#193193,#f8f8f8,#8f836e,,
Charcoal,#666a6c,#393b39,#e5e8e4,,
Aegean Airlines,#00217a,#94aacb,#ffffff,,
Southern Air,#d40711,#ffcc00,#ffffff,,
Iraqi Airways,#12470d,#ffffff,#ffffff,,
Sunday Airlines,#eb0e7d,#5bfc09,#0255d8,,
Virgin Atlantic,#ffffff,#e20606,#e20606,,
KC-10 Extender USAF,#323232,#323232,#323232,,
Air Tahiti Nui,#005db7,#2dccd4,#db2a1d,,
Royal Air Maroc,#f3f3f1,#d9202a,#1c7651,,
British Airways - Comair,#ffffff,#ef3226,#035caa,,
Taag Angola Airlines,#ffffff,#ff0f03,#ff0f03,,
Brussels Airlines,#ffffff,#071446,#e5002b,,
RwandAir,#005498,#fbe012,#94c744,,
Hainan Airlines,#ee3225,#ee3225,#ffe20f,,
Edelweiss,#cf0a2c,#002e86,#fbeb33,,
Air Transat,#00b3f0,#182b54,#ffffff,,
Egypt Air,#ffffff,#00265d,#2abcee,,
Private 9,#323232,#323232,#323232,,
Oman Air,#096183,#a7a9ac,#b5985a,,
Sri Lankan Airlines,#3d4e80,#e40002,#00a900,,
AirTran,#0065a4,#ef3e42,#ffffff,,
Tarom,#002d62,#ffffff,#ffffff,,
Fiji Airways,#382c20,#ffffff,#ffffff,,
GOL - 2018,#ff5800,#b7b3b1,#b7b3b1,,
LOT Polish Airlines,#252668,#ffffff,#ffffff,,
Porter Airlines,#112855,#ffffff,#ffffff,,
Private 4,#323232,#323232,#323232,,
Pakistan International Airlines,#005030,#ab9214,#ffffff,,
Jet Airways,#ffffff,#fcae1c,#0f204b,,
Air Vanuatu,#ffffff,#cd1520,#5b8527,,
HiFly,#0f366f,#02b8ee,#02b8ee,,
Ibom Air,#f17012,#005337,#005337,,
Air Manas,#e6e7e6,#44405c,#44405c,,
UPS,#ffbe00,#330000,#330000,,
Myair,#d60002,#50b547,#50b547,,
BBJ - Gold and Red,#b2403a,#b7966e,#b7966e,,
Iberia,#b11c25,#ef8314,#facd0a,,
Air Baltic,#cdda32,#152649,#152649,,
Emirates Sky Cargo,#e81d3f,#f7f7f3,#219854,,
Navy Blue,#212a3f,#fefefd,#dadddb,,
Ghana Airways,#0e6c42,#fad316,#d1202c,,
Infinite Flight 2019,#1c1c1d,#fa9822,#ffffff,,
VivaAerobus,#38ac49,#ffffff,#e02a27,,
Breeze,#071833,#2074df,#2074df,,
Horizon Air,#b1d887,#00b2d6,#03416e,,
Mokulele,#ed1c25,#ffffff,#ffffff,,
Ukraine International,#146eb2,#ffd600,#ffffff,,
Air Tanzania,#0063ae,#00b24c,#00b24c,,
Etihad Airways,#270015,#c4921c,#c9baa8,,
Air Asia,#e42d2e,#ffffff,#ffffff,,
Thai Air Asia X,#e42d2e,#ffffff,#ffffff,,
"Black, Red & White",#1c1d1d,#a9a39a,#e2372a,,
iberojet,#1e9a8d,#212c68,#212c68,,
Austrian Airlines,#ffffff,#d7211c,#93282b,,
Widerøe,#4ea322,#00482d,#00482d,,
Avelo Airlines,#4c12a1,#ffcd00,#00c1d4,,
Westjet,#1a3f70,#00aaa6,#00aaa6,,
Libyan Airlines,#7a2537,#d3bf98,#d3bf98,,
Med Airlines,#1e5344,#0a0a0b,#0a0a0b,,
Aerolíneas Argentinas,#ffffff,#0082c7,#0082c7,,
Sriwijaya Air,#b4333d,#2a3d71,#5399d3,,
Air France Cargo,#002157,#f71d25,#931116,,
Air Canada Rouge,#ffffff,#f01428,#000000,,
Shuttle Carrier,#323232,#323232,#323232,,
easyJet 2015,#ff6600,#ff6600,#ffffff,,
Sky Airlines,#5b1e84,#5b1e84,#47bf4b,,
Croatia Airlines,#ffffff,#ed1c25,#363f9e,,
Lufthansa Cityline,#00235f,#ffffff,#f9ba00,,
Private 2,#323232,#323232,#323232,,
NASA SOFIA,#323232,#323232,#323232,,
Cabo Verde,#093b9e,#75d4d9,#ae9483,,
Vistara,#47113d,#bb9b56,#bb9b56,,
Air Canada - Retro,#ffffff,#f01428,#000000,,
Sun Country,#f68236,#064484,#064484,,
American,#c7d0d7,#14acdc,#b62023,,
Fuji Dream Airlines,#0052a9,#d8021d,#fff000,,
Private - Tulip,#363841,#d8bc60,#d8bc60,,
BA Cityflyer,,,,,
Air France Hop,#002157,#f71d25,#931116,,
United - 2019,#0060a9,#ffffff,#ffffff,,
Jetblue - Blueprint,#053878,#4d93d3,#ffffff,,
Finnair,#0a2d72,#ffffff,#ffffff,,
Lufthansa - Regional,#00235f,#ffffff,#f9ba00,,
Netjets,#ffffff,#8e3a4e,#161616,,
Netjets Europe,#ffffff,#8e3a4e,#161616,,
Hyperion Aviation,#ffffff,#8e3a4e,#596176,,
Jet Mach,#ffffff,#9b3642,#8f97a3,,
Infinite Flight - 10 Year Anniversary,#1c1c1d,#fa9822,#ffffff,,
Spirit Airlines - 2014,#ffec00,#ffffff,#ffffff,,
Clay Lacy Aviation,#253e7a,#ffffff,#ffffff,,
N960DH,#2c73d0,#30a2d9,#fefefe,,
United Airlines - 2019,#0060a9,#ffffff,#ffffff,,
Titan Airways,#d35c0d,#181818,#d8d8d8,,
USAF - Moody AFB,#323232,#323232,#323232,,
Luxaviation Belgium,#a2acb8,#1a1c20,#1a1c20,,
Catreus Aviation,#ffffff,#b89972,#343e55,,
XiamenAir,#008cd5,#ffffff,#ffffff,,
QantasLink,#ffffff,#e00606,#e00606,,
Flexjet,#000000,#633f4c,#ffffff,,
China Eastern,#ffffff,#e50000,#00227f,,
Airlink,#efc17c,#166739,#212e59,,
Southwest - Illionis One,#2144c8,#eccc5f,#cf363f,,
China Southern,#002053,#ed2537,#0094d0,,
USAF,#323232,#323232,#323232,,
Lufthansa Cargo,#00235f,#ffffff,#f9ba00,,
ITA Airways,#0a76d0,#006e44,#c2251c,,
Yellow,#f8e553,#f8e553,#f8e553,,
tigerair,#f8a736,#323232,#323232,,
ExecuJet,#3a446a,#a58e5d,#ffffff,,
JM Aviation,#4d85a9,#ffffff,#ffffff,,
Emirates - 2023,#e81d3f,#f7f7f3,#219854,,
Air Transat,#00b3f0,#182b54,#ffffff,,
N930TX,#363a37,#6c6e71,#d44340,,
Unknown,#323232,#323232,#323232,,
Atlas Air,#0a1d60,#ffb718,#ffb718,,
Susi Air,#70542e,#640a0a,#0a1928,,
Business Wings,#0a203d,#980f1a,#ffffff,,
Infinite Flight -  Light + Infinite Flight -  Dark,#1c1c1d,#fa9822,#ffffff,,
United States Coast Guard,#dc3932,#ffffff,#0073b0,,
Infinite Flight Academy,#1c1c1d,#fa9822,#ffffff,,
Spitfire,#939286,#6f6851,#232341,,
Jetblue Shantay,#053878,#4d93d3,#ffffff,,
Factory,#70af9e,#47715b,#dadcc4,,
Cathay Pacific - oneworld,#066f72,#066f72,#ffffff,,
Sunwest Aviation,#a89464,#3f5067,#ffffff,,
Indian Air Force,#323232,#323232,#323232,,
Flair,#79ff94,#000000,#ffffff,,
N208LD,#343e37,#7b0f14,#ffffff,,
EAA 50th,#4288e5,#f9f056,#f6f6f5,,
N99XC,#f8e353,#cdcfca,#cdcfca,,
La Compagnie,#8acee3,#2b3236,#2b3236,,
Sichuan Airlines,#ffffff,#d0000e,#94d13d,,
Hi Fly,#0f366f,#02b8ee,#02b8ee,,
Orange and Gray,#e8773b,#cacbc5,#cacbc5,,
Launch Edition N500XC,#5b5c59,#c13e36,#c0c1be,,
LAN Cargo,#2a0087,#ee1850,#ffffff,,
